car_name,brand,model
Maruti Alto,Maruti,Alto
Hyundai Grand,Hyundai,Grand
Hyundai i20,Hyundai,i20
Ford Ecosport,Ford,Ecosport
Maruti Wagon R,Maruti,Wagon R
Hyundai i10,Hyundai,i10
Hyundai Venue,Hyundai,Venue
Maruti Swift,Maruti,Swift
Hyundai Verna,Hyundai,Verna
Renault Duster,Renault,Duster
Mini Cooper,Mini,Cooper
Maruti Ciaz,Maruti,Ciaz
Mercedes-Benz C-Class,Mercedes-Benz,C-Class
Toyota Innova,Toyota,Innova
Maruti Baleno,Maruti,Baleno
Maruti Swift Dzire,Maruti,Swift Dzire
Volkswagen Vento,Volkswagen,Vento
Hyundai Creta,Hyundai,Creta
Honda City,Honda,City
Mahindra Bolero,Mahindra,Bolero
Toyota Fortuner,Toyota,Fortuner
Renault KWID,Renault,KWID
Honda Amaze,Honda,Amaze
Hyundai Santro,Hyundai,Santro
Mahindra XUV500,Mahindra,XUV500
Mahindra KUV100,Mahindra,KUV100
Maruti Ignis,Maruti,Ignis
Datsun RediGO,Datsun,RediGO
Mahindra Scorpio,Mahindra,Scorpio
Mahindra Marazzo,Mahindra,Marazzo
Ford Aspire,Ford,Aspire
Ford Figo,Ford,Figo
Maruti Vitara,Maruti,Vitara
Tata Tiago,Tata,Tiago
Volkswagen Polo,Volkswagen,Polo
Kia Seltos,Kia,Seltos
Maruti Celerio,Maruti,Celerio
Datsun GO,Datsun,GO
BMW 5,BMW,5
Honda CR-V,Honda,CR-V
Ford Endeavour,Ford,Endeavour
Mahindra KUV,Mahindra,KUV
Honda Jazz,Honda,Jazz
BMW 3,BMW,3
Audi A4,Audi,A4
Tata Tigor,Tata,Tigor
Maruti Ertiga,Maruti,Ertiga
Tata Safari,Tata,Safari
Mahindra Thar,Mahindra,Thar
Tata Hexa,Tata,Hexa
Land Rover Rover,Land Rover,Rover
Maruti Eeco,Maruti,Eeco
Audi A6,Audi,A6
Mercedes-Benz E-Class,Mercedes-Benz,E-Class
Audi Q7,Audi,Q7
BMW Z4,BMW,Z4
BMW 6,BMW,6
Jaguar XF,Jaguar,XF
BMW X5,BMW,X5
MG Hector,MG,Hector
Honda Civic,Honda,Civic
Isuzu D-Max,Isuzu,D-Max
Porsche Cayenne,Porsche,Cayenne
BMW X1,BMW,X1
Skoda Rapid,Skoda,Rapid
Ford Freestyle,Ford,Freestyle
Skoda Superb,Skoda,Superb
Tata Nexon,Tata,Nexon
Mahindra XUV300,Mahindra,XUV300
Maruti Dzire VXI,Maruti,Dzire VXI
Volvo S90,Volvo,S90
Honda WR-V,Honda,WR-V
Maruti XL6,Maruti,XL6
Renault Triber,Renault,Triber
Lexus ES,Lexus,ES
Jeep Wrangler,Jeep,Wrangler
Toyota Camry,Toyota,Camry
Hyundai Elantra,Hyundai,Elantra
Toyota Yaris,Toyota,Yaris
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class
BMW 7,BMW,7
Maruti S-Presso,Maruti,S-Presso
Maruti Dzire LXI,Maruti,Dzire LXI
Hyundai Aura,Hyundai,Aura
Volvo XC,Volvo,XC
Maserati Ghibli,Maserati,Ghibli
Bentley Continental,Bentley,Continental
Honda CR,Honda,CR
Nissan Kicks,Nissan,Kicks
Mercedes-Benz S-Class,Mercedes-Benz,S-Class
Hyundai Tucson,Hyundai,Tucson
Tata Harrier,Tata,Harrier
BMW X3,BMW,X3
Skoda Octavia,Skoda,Octavia
Jeep Compass,Jeep,Compass
Mercedes-Benz CLS,Mercedes-Benz,CLS
Datsun redi-GO,Datsun,redi-GO
Toyota Glanza,Toyota,Glanza
Porsche Macan,Porsche,Macan
BMW X4,BMW,X4
Maruti Dzire ZXI,Maruti,Dzire ZXI
Volvo XC90,Volvo,XC90
Jaguar F-PACE,Jaguar,F-PACE
Audi A8,Audi,A8
ISUZU MUX,ISUZU,MUX
Ferrari GTC4Lusso,Ferrari,GTC4Lusso
Mercedes-Benz GLS,Mercedes-Benz,GLS
Nissan X-Trail,Nissan,X-Trail
Jaguar XE,Jaguar,XE
Volvo XC60,Volvo,XC60
Porsche Panamera,Porsche,Panamera
Mahindra Alturas,Mahindra,Alturas
Tata Altroz,Tata,Altroz
Lexus NX,Lexus,NX
Kia Carnival,Kia,Carnival
Mercedes-AMG C,Mercedes-AMG,C
Lexus RX,Lexus,RX
Rolls-Royce Ghost,Rolls-Royce,Ghost
Maserati Quattroporte,Maserati,Quattroporte
Isuzu MUX,Isuzu,MUX
Force Gurkha,Force,Gurkha
